DE Number,System DE Number,Data Element,Data Element Name Text,Necessity,Definition,Valid Values,File Segment Number,File Segment Name,Size,FLF Start Position,FLF Stop Position,Segment Key Field Identifier,Coding Requirements,file_name
COT194,COT.003.194,OTHER-TPL-COLLECTION,Other TPL Collection,Mandatory,"This data element indicates that the claim is for a beneficiary for whom other third party resource development and collection activities are in progress, when the liability is not another health insurance plan for which the eligible is a beneficiary.",COT194 Values,COT00003,CLAIM-LINE-RECORD-OT,X(3),385,387,Not Applicable,"1. Value must be 3 characters
2. Value must be in Other TPL Collection List (VVL)
3. Mandatory",CLAIMOT
COT195,COT.003.195,TOOTH-DESIGNATION-SYSTEM,Tooth Designation System,Situational,A code to identify the tooth numbering system being used.,COT195 Values,COT00003,CLAIM-LINE-RECORD-OT,X(2),388,389,Not Applicable,"1. Value must be 2 characters
2. Value must be in Tooth Designation System List (VVL)
3. Value must not contain a pipe symbol
4. Situational",CLAIMOT
COT196,COT.003.196,TOOTH-NUM,Tooth Number,Conditional,The tooth number serviced based on the tooth numbering system identified in the TOOTH-DESIGNATION-SYSTEM field.,COT196 Values,COT00003,CLAIM-LINE-RECORD-OT,X(2),390,391,Not Applicable,"1. Value must be 2 characters or less
2. Value must be in Tooth Number List (VVL)
3. If Tooth Designation System (COT.003.195) is ""JP"" value must be found in [1..32][51-82][A..T]or [AS..KS]
4. If Tooth Designation System (COT.003.195) is ""JO"" value must have 1 digit before and after the decimal (N.N)
5. If Tooth Designation System (COT.003.195) is ""JO"" value must be a first digit of 1-4 and the decimal must be between 1-8
6. Conditional
7. When value is in [A-T], the difference between Ending Date of Service (COT.002.034) and Date of Birth (COT.002.108) is less than 15 years",CLAIMOT
COT197,COT.003.197,TOOTH-QUAD-CODE,Tooth Quad Code,Situational,The area of the oral cavity is designated by a two-digit code.,COT197 Values,COT00003,CLAIM-LINE-RECORD-OT,X(2),392,393,Not Applicable,"1. Value must be 2 characters
2. Value must be in Tooth Quad Code List (VVL)
3. Situational
4. When populated, associated type of service value must be in [013,029,035]",CLAIMOT
COT198,COT.003.198,TOOTH-SURFACE-CODE,Tooth Surface Code,Situational,A code to identify the tooth's surface on which the service was performed.,COT198 Values,COT00003,CLAIM-LINE-RECORD-OT,X(1),394,394,Not Applicable,"1. Value must be 1 character
2. Value must be in Tooth Surface Code List (VVL)
3. Situational
4. When populated, associated type of service value must be in [013,029,035]",CLAIMOT
COT199,COT.003.199,ORIGINATION-ADDR-LN1,Origination Address Line 1,Situational,"The street address of the origination point from which a patient is transported either from home or Long term care facility to a health care provider for healthcare services or vice versa. For transportation claims, this is only required if state has captured this information, otherwise it is conditional.",,COT00003,CLAIM-LINE-RECORD-OT,X(60),395,454,Not Applicable,"1. Value must be 60 characters or less
2. Value must not be equal to associated Address Line 2 or Address Line 3 value(s)
3. Value must not contain a pipe or asterisk symbols
4. Situational",CLAIMOT
COT200,COT.003.200,ORIGINATION-ADDR-LN2,Origination Address Line 2,Situational,"The second line of the street address of the destination point to which a patient is transported either from home or Long term care facility to a health care provider for healthcare services or vice versa. For transportation claims, this is only required if state has captured this information, otherwise it is conditional.",,COT00003,CLAIM-LINE-RECORD-OT,X(60),455,514,Not Applicable,"1. Value must be 60 characters or less
2. Value must not be equal to associated Address Line 1 or Address Line 3 value(s)
3. There must be an Address Line 1 in order to have an Address Line 2
4. Value must not contain a pipe or asterisk symbols
5. Situational",CLAIMOT
COT201,COT.003.201,ORIGINATION-CITY,Origination City,Situational,"The name of the origination city from which a patient is transported either from home or a long term care facility to a health care provider for healthcare services or vice versa. For transportation claims, this is only required if state has captured this information, otherwise it is conditional.",,COT00003,CLAIM-LINE-RECORD-OT,X(28),515,542,Not Applicable,"1. Value must be 28 characters or less
2. Value must not contain a pipe or asterisk symbols
3. Situational",CLAIMOT
COT202,COT.003.202,ORIGINATION-STATE,Origination State,Situational,"The ANSI numeric code of the origination state in which a patient is transported either from home or a long term care facility to a health care provider to a health care provider for healthcare services or vice versa.
",COT202 Values,COT00003,CLAIM-LINE-RECORD-OT,X(2),543,544,Not Applicable,"1. Value must be 2 characters
2. Value must be in State Code List (VVL)
3. Situational
",CLAIMOT
COT203,COT.003.203,ORIGINATION-ZIP-CODE,Origination ZIP Code,Situational,The zip code of the origination city from which a patient is transported either from home or long term care facility to a health care provider for healthcare services or vice versa.,COT203 Values,COT00003,CLAIM-LINE-RECORD-OT,X(9),545,553,Not Applicable,"1. Value may only be 5 digits (0-9) (Example: 91320) or 9 digits (0-9) (Example: 913200011)
2. Value must be in ZIP Code List (VVL)
3. Situational",CLAIMOT
COT204,COT.003.204,DESTINATION-ADDR-LN1,Destination Address Line 1,Situational,"The street address of the destination point to which a patient is transported either from home or Long term care facility to a health care provider for healthcare services or vice versa. For transportation claims only. Required if state has captured this information, otherwise it is conditional.",,COT00003,CLAIM-LINE-RECORD-OT,X(60),554,613,Not Applicable,"1. Value must be 60 characters or less
2. Value must not be equal to associated Address Line 2 or Address Line 3 value(s)
3. Value must not contain a pipe or asterisk symbols
4. Situational",CLAIMOT
COT205,COT.003.205,DESTINATION-ADDR-LN2,Destination Address Line 2,Situational,"The street address of the destination point to which a patient is transported either from home or Long term care facility to a health care provider for healthcare services or vice versa. For transportation claims only. Required if state has captured this information, otherwise it is conditional.",,COT00003,CLAIM-LINE-RECORD-OT,X(60),614,673,Not Applicable,"1. Value must be 60 characters or less
2. Value must not be equal to associated Address Line 1 or Address Line 3 value(s)
3. There must be an Address Line 1 in order to have an Address Line 2
4. Value must not contain a pipe or asterisk symbols
5. SItuational",CLAIMOT
COT206,COT.003.206,DESTINATION-CITY,Destination City,Situational,"The name of the destination city to which a patient is transported either from home or a long term care facility to a health care provider for healthcare services or vice versa. For transportation claims only. Required if state has captured this information, otherwise it is conditional.",,COT00003,CLAIM-LINE-RECORD-OT,X(28),674,701,Not Applicable,"1. Value must be 28 characters or less
2. Value must not contain a pipe or asterisk symbols
3. Situational",CLAIMOT
COT207,COT.003.207,DESTINATION-STATE,Destination State,Situational,"The ANSI state numeric code for the U.S. state, Territory, or the District of Columbia code of the destination state in which a patient is transported either from home or a long term care facility to a health care provider for healthcare services or vice versa. For transportation claims only. Required if state has captured this information, otherwise it is conditional.
",COT207 Values,COT00003,CLAIM-LINE-RECORD-OT,X(2),702,703,Not Applicable,"1. Value must be 2 characters
2. Value must be in State Code List (VVL)
3. Situational
",CLAIMOT
COT208,COT.003.208,DESTINATION-ZIP-CODE,Destination ZIP Code,Situational,"The zip code of the destination city to which a patient is transported either from home or long term care facility to a health care provider for healthcare services or vice versa. For transportation claims only. Required if state has captured this information, otherwise it is conditional.",COT208 Values,COT00003,CLAIM-LINE-RECORD-OT,X(9),704,712,Not Applicable,"1. Value may only be 5 digits (0-9) (Example: 91320) or 9 digits (0-9) (Example: 913200011)
2. Value must be in ZIP Code List (VVL)
3. Situational",CLAIMOT
COT210,COT.003.210,CATEGORY-FOR-FEDERAL-REIMBURSEMENT,Category for Federal Reimbursement,Conditional,A code to indicate the Federal funding source for the payment.,COT210 Values,COT00003,CLAIM-LINE-RECORD-OT,X(2),713,714,Not Applicable,"1. Value must be 2 characters
2. Value must be in Category for Federal Reimbursement List (VVL)
3. (Federal Funding under Title XXI) if value equals ""02"", then the eligible's CHIP Code (ELG.003.054) must be in [2,3]
4. (Federal Funding under Title XIX) if value equals ""01"" then the eligible's CHIP Code (ELG.003.054) must be ""1""
5. Conditional
6. If Type of Claim is in [1,A,U] and the Total Medicaid Paid Amount is populated on the corresponding claim header, then value must be reported",CLAIMOT
COT213,COT.003.213,OTHER-INSURANCE-AMT,Other Insurance Amount,Situational,The amount paid by insurance other than Medicare or Medicaid on this claim.,,COT00003,CLAIM-LINE-RECORD-OT,S9(11)V99,715,727,Not Applicable,"1. Value must be between -99999999999.99 and 99999999999.99
2. Value must be expressed as a number with 2-digit precision (e.g. 100.50)
3. Situational",CLAIMOT
COT217,COT.003.217,NATIONAL-DRUG-CODE,National Drug Code,Situational,"A code following the National Drug Code format indicating the drug, device, or medical supply covered by this claim.",,COT00003,CLAIM-LINE-RECORD-OT,X(12),728,739,Not Applicable,"1. Value must be 12 digits or less
2. Value must be a valid National Drug Code
3. Situational",CLAIMOT
COT227,COT.003.227,PROCEDURE-CODE-MOD-2,Procedure Code Modifier 2,Situational,"The procedure code modifier used with an associated procedure code. For example, some states use modifiers to indicate assistance in surgery or anesthesia services.",COT227 Values,COT00003,CLAIM-LINE-RECORD-OT,X(2),740,741,Not Applicable,"1. Value must be 2 characters
2. Value must be in Procedure Code Mod List (VVL)
3. Must be associated with a Procedure Code
4. Situational",CLAIMOT
COT218,COT.003.218,PROCEDURE-CODE-MOD-3,Procedure Code Modifier 3,Situational,"The procedure code modifier used with an associated procedure code. For example, some states use modifiers to indicate assistance in surgery or anesthesia services.",COT218 Values,COT00003,CLAIM-LINE-RECORD-OT,X(2),742,743,Not Applicable,"1. Value must be 2 characters
2. Value must be in Procedure Code Mod List (VVL)
3. Must be associated with a Procedure Code
4. Situational",CLAIMOT
COT219,COT.003.219,PROCEDURE-CODE-MOD-4,Procedure Code Modifier 4,Situational,"The procedure code modifier used with an associated procedure code. For example, some states use modifiers to indicate assistance in surgery or anesthesia services.",COT219 Values,COT00003,CLAIM-LINE-RECORD-OT,X(2),744,745,Not Applicable,"1. Value must be 2 characters
2. Value must be in Procedure Code Mod List (VVL)
3. Must be associated with a Procedure Code
4. Situational",CLAIMOT
COT221,COT.003.221,ADJUDICATION-DATE,Adjudication Date,Mandatory,"The date on which the payment status of the claim was finally adjudicated by the state. For Encounter Records (Type of Claim = 3, C, W), use date the encounter was processed by the state.",,COT00003,CLAIM-LINE-RECORD-OT,9(8),746,753,7,"1. The date must be a valid calendar date in the form ""CCYYMMDD""
2. Value should be on or before End of Time Period (COT.001.010)
3. Mandatory
4. Value should be on or after the associated Beginning Date of Service",CLAIMOT
COT222,COT.003.222,SELF-DIRECTION-TYPE,Self Direction Type,Mandatory,"A data element to identify how the beneficiary self-directed the service, i.e. hiring authority (the beneficiary has decision-making authority to recruit, hire, train and supervise the individuals who furnish his/her services), budget authority (The beneficiary has decision-making authority over how the Medicaid funds in a budget are spent), or both hiring and budget authority.",COT222 Values,COT00003,CLAIM-LINE-RECORD-OT,X(3),754,756,Not Applicable,"1. Value must be 3 characters
2. Value must be in Self Direction Type List (VVL)
3. Mandatory",CLAIMOT
COT223,COT.003.223,PRE-AUTHORIZATION-NUM,Preauthorization Number,Situational,"A number, code or other value that indicates the services provided on this claim have been authorized by the payee or other service organization, or that a referral for services has been approved. (Also referred to as a Prior Authorization or Referral Number).",,COT00003,CLAIM-LINE-RECORD-OT,X(18),757,774,Not Applicable,"1. Value must be 18 characters or less
2. Value must not contain a pipe or asterisk symbols
3. Situational",CLAIMOT
COT224,COT.003.224,NDC-UNIT-OF-MEASURE,NDC Unit of Measure,Situational,A code to indicate the basis by which the quantity of the National Drug Code is expressed.,COT224 Values,COT00003,CLAIM-LINE-RECORD-OT,X(2),775,776,Not Applicable,"1. Value must be 2 characters
2. Value must be in NDC Unit of Measure List (VVL)
3. Situational",CLAIMOT
COT225,COT.003.225,NDC-QUANTITY,NDC Quantity,Situational,This field is to capture the actual quantity of the National Drug Code being prescribed on the claim/encounter.,,COT00003,CLAIM-LINE-RECORD-OT,S9(9)V9(9),777,794,Not Applicable,"1. Value may include up to 9 digits to the left of the decimal point, and 9 digits to the right e.g. 123456789.123456789
2. Situational",CLAIMOT
COT234,COT.003.234,IHS-SERVICE-IND,IHS Service Indicator,Mandatory,"To indicate Services received by Medicaid-eligible individuals who are American Indian or Alaska Native (AI/AN) through facilities of the Indian Health Service (IHS), whether operated by IHS or by Tribes.",COT234 Values,COT00003,CLAIM-LINE-RECORD-OT,X(1),795,795,Not Applicable,"1. Value must be 1 character
2. Value must be in the IHS Service Indicator List (VVL)
3. Mandatory",CLAIMOT
COT254,COT.003.254,DIAGNOSIS-CODE-POINTER-1,Diagnosis Code Pointer 1,Conditional,A pointer to the diagnosis code in the order of importance to this service.,,COT00003,CLAIM-LINE-RECORD-OT,9(2),796,797,Not Applicable,"1. Value must be numeric
2. Value must be 2 digits or less
3. Value must be between 1 and 12
4. Conditional
5. If Type of Claim is in [1,3,A,C,U,W] and a CPT-4 code or a CDT code (begins with the letter 'D'), then value must be populated",CLAIMOT
COT287,COT.003.287,DIAGNOSIS-CODE-POINTER-2,Diagnosis Code Pointer 2,Situational,A pointer to the diagnosis code in the order of importance to this service.,,COT00003,CLAIM-LINE-RECORD-OT,9(2),798,799,Not Applicable,"1. Value must be numeric
2. Value must be 2 digits or less
3. Value must be between 1 and 12
4. Situational",CLAIMOT
COT288,COT.003.288,DIAGNOSIS-CODE-POINTER-3,Diagnosis Code Pointer 3,Situational,A pointer to the diagnosis code in the order of importance to this service.,,COT00003,CLAIM-LINE-RECORD-OT,9(2),800,801,Not Applicable,"1. Value must be numeric
2. Value must be 2 digits or less
3. Value must be between 1 and 12
4. Situational",CLAIMOT
COT289,COT.003.289,DIAGNOSIS-CODE-POINTER-4,Diagnosis Code Pointer 4,Situational,A pointer to the diagnosis code in the order of importance to this service.,,COT00003,CLAIM-LINE-RECORD-OT,9(2),802,803,Not Applicable,"1. Value must be numeric
2. Value must be 2 digits or less
3. Value must be between 1 and 12
4. Situational",CLAIMOT
COT255,COT.003.255,UNIQUE-DEVICE-IDENTIFIER,Unique Device Identifier,Situational,An unique identifier assigned to every medical device that meets the requirements of 21 CFR 801 and 830.,,COT00003,CLAIM-LINE-RECORD-OT,X(76),804,879,Not Applicable,"1. Value must not be more than 76 characters
2. Situational",CLAIMOT
COT290,COT.003.290,MBESCBES-FORM-GROUP,MBESCBES Form Group,Conditional,"Indicates group of MBES/CBES forms that this payment applies to (e.g., the CMS-64.9 Base form is for Title XIX-funded Medicaid, the CMS-64.21 form is for Title XXI-funded Medicaid-expansion CHIP (M-CHIP), and the CMS-21 Base form is for Title XXI-funded separate CHIP (S-CHIP)). States should populate these data elements for claims when Medicaid Paid Amount is 0 or less than 0. For example, these data elements are still expected to be populated on voided or replacement claims. The data elements should align with quarterly MBES/CBES reporting.",COT290 Values,COT00003,CLAIM-LINE-RECORD-OT,X(1),880,880,Not Applicable,"1. Value must be 1 character
2. Value must be in MBESCBES Form Group List (VVL)
3. Conditional
4. If Type of Claim in [1,A,U], then value must be populated on all claim lines with a Medicaid Paid Amount greater than $0",CLAIMOT
COT257,COT.003.257,MBESCBES-FORM,MBESCBES Form,Conditional,"The MBES or CBES form to which the expenditure will be mapped (e.g., CMS-64 Base, CMS-64.21U, CMS-21, etc.). This should be determined by the state's MBES/CBES reporting process. The MBES or CBES form reported here will determine what the meaning of the corresponding MBES/CBES category of service value is.",COT257 Values,COT00003,CLAIM-LINE-RECORD-OT,X(50),881,930,Not Applicable,"1. Value must be 50 characters or less
2. When MBESCBES Form Group equals ""1"", value must be in MBESCBES Form Group 1 List (VVL)
3. When MBESCBES Form Group equals ""2"", value must be in MBESCBES Form Group 2 List (VVL)
4. When MBESCBES Form Group equals ""3"", value must be in MBESCBES Form Group 3 List (VVL)
5. Conditional
6. If Type of Claim in [1,A,U], then value must be populated on all claim lines with a Medicaid Paid Amount greater than $0",CLAIMOT
COT256,COT.003.256,MBESCBES-CATEGORY-OF-SERVICE,MBESCBES Category of Service,Conditional,"A code indicating the category of service for the paid claim. The category of service is the line item from the MBES/CBES expenditure form (e.g., CMS-64 Base, CMS-64.21U, CMS-21, etc.) that states use to report their expenditures and request federal financial participation.",COT256 Values,COT00003,CLAIM-LINE-RECORD-OT,X(5),931,935,Not Applicable,"1. Value must be 5 characters or less
2. When MBESCBES Form Group equals ""1"", value must be in 64.9COS list (VVL)
3. When MBESCBES Form Group equals ""2"", value must be in 64.21COS list (VVL)
4. When MBESCBES Form Group equals ""3"", value must be in 21COS list (VVL)
5. Conditional
6. If Type of Claim in [1,A,U], then value must be populated on all claim lines with a Medicaid Paid Amount greater than $0
7. When populated, an associated MBESCBES Form Group and MBESCBES Form must be populated",CLAIMOT
COT258,COT.003.258,SERVICE-FACILITY-LOCATION-ORG-NPI,Service Facility Location Organization NPI,Situational,Service facility location organization NPI from X12 837P loop 2420C and 837D loop 2420D.,,COT00003,CLAIM-LINE-RECORD-OT,X(10),936,945,Not Applicable,"1.Value must be 10 digits
2. Value must have an associated Provider Identifier Type equal to ""2""
3. Value must exist in the NPPES NPI data file
4. Situational
5. When populated, value must match Provider Identifier (PRV.005.081) and Facility Group Individual Code (PRV.002.026) must equal ""01""
6. NPPES Entity Type Code associated with this NPI must equal ""2"" (Organization)",CLAIMOT
COT259,COT.003.259,SERVICE-FACILITY-LOCATION-ADDR-LN-1,Service Facility Location Address Line 1,Situational,Service facility location address line 1 from X12 837P loop 2420C and 837D loop 2420D.,,COT00003,CLAIM-LINE-RECORD-OT,X(60),946,1005,Not Applicable,"1. Value must not be more than 60 characters
2. Situational
3. Value must not contain a pipe or asterisk symbols",CLAIMOT
COT260,COT.003.260,SERVICE-FACILITY-LOCATION-ADDR-LN-2,Service Facility Location Address Line 2,Situational,Service facility location address line 2 from X12 837P loop 2420C and 837D loop 2420D.,,COT00003,CLAIM-LINE-RECORD-OT,X(60),1006,1065,Not Applicable,"1. Value must not be more than 60 characters
2. SItuational
3. Value must not be equal to associated Address Line 1
4. There must be an Address Line 1 in order to have an Address Line 2
5. Value must not contain a pipe or asterisk symbols",CLAIMOT
COT261,COT.003.261,SERVICE-FACILITY-LOCATION-CITY,Service Facility Location City,Situational,Service facility location address city name from X12 837P loop 2420C and 837D loop 2420D.,,COT00003,CLAIM-LINE-RECORD-OT,X(28),1066,1093,Not Applicable,"1. Value must not be more than 28 characters
2. Situational",CLAIMOT
COT262,COT.003.262,SERVICE-FACILITY-LOCATION-STATE,Service Facility Location State,Situational,Service facility location address state code from X12 837P loop 2420C and 837D loop 2420D.,COT262 Values,COT00003,CLAIM-LINE-RECORD-OT,X(2),1094,1095,Not Applicable,"1. Value must not be more than 2 characters
2. Value must be in State Code list (VVL)
3. Situational",CLAIMOT
COT263,COT.003.263,SERVICE-FACILITY-LOCATION-ZIP-CODE,Service Facility Location ZIP Code,Situational,Service facility location address ZIP code from X12 837P loop 2420C and 837D loop 2420D.,COT263 Values,COT00003,CLAIM-LINE-RECORD-OT,X(9),1096,1104,Not Applicable,"1. Value may only be 5 digits (0-9) (Example: 91320) or 9 digits (0-9) (Example: 913200011)
2. Value must be in ZIP Code List (VVL)
3. Situational",CLAIMOT
COT264,COT.003.264,PLACE-OF-SERVICE,Place of Service,Situational,"A pass-through data element meaning that the state should report the field in T-MSIS as reported by the provider on the claim form (i.e., 837P or 837D - Place of Service is only captured at the line level of the CMS-1500). If the claim is submitted on the 837p electronic claims form and the Facility Code Qualifier is reported with any value other than 'B', then the PLACE-OF-SERVICE value should be blank or space-filled. If the claim is submitted on the CMS-1450 (UB-04) institutional claims form, the PLACE-OF-SERVICE field should be blank or space-filled. Otherwise, if the claim is submitted with the place of service populated with any value other than the valid values listed in T-MSIS Data Guide for PLACE-OF-SERVICE values, that value should still be reported in the PLACE-OF-SERVICE data element. If the claim is submitted by a provider with the place of service fields blank, then the PLACE-OF-SERVICE on the T-MSIS OT claims file should be blank or space-filled.",COT264 Values,COT00003,CLAIM-LINE-RECORD-OT,X(2),1105,1106,Not Applicable,"1. Value must not be more than 2 characters
2. Value must be in Place of Service Code List (VVL)
3. Situational
4. If value is populated, then Revenue Code must not be populated",CLAIMOT
COT265,COT.003.265,GME-AMOUNT-PAID,GME Amount Paid,Situational,"The amount included in the Medicaid Amount (COT.003.178) that is attributable to a Graduate Medical Education (GME) payment, when the state makes GME payments by claim.",,COT00003,CLAIM-LINE-RECORD-OT,S9(11)V99,1107,1119,Not Applicable,"1. Value must be between -99999999999.99 and 99999999999.99
2. Value must be expressed as a number with 2-digit precision (e.g. 100.50)
3. Situational",CLAIMOT
COT266,COT.003.266,REFERRING-PROV-NUM,Referring Provider Number,Situational,"A unique identification number assigned to a provider which identifies the physician or other provider who referred the patient. For physicians, this must be the individual's ID number, not a group identification number. If the referring provider number is not available, but the physician's Drug Enforcement Agency (DEA) ID is on the State file, then the State should use the DEA ID for this data element. This is only applicable when a provider reports a second referral at the header of their claim.",,COT00003,CLAIM-LINE-RECORD-OT,X(30),1120,1149,Not Applicable,"1. Value must be 30 characters or less
2. Situational",CLAIMOT
COT267,COT.003.267,REFERRING-PROV-NPI-NUM,Referring Provider NPI Number,Situational,The National Provider ID (NPI) of the provider who recommended the servicing provider to the patient.,,COT00003,CLAIM-LINE-RECORD-OT,X(10),1150,1159,Not Applicable,"1. Value must be 10 digits
2. Situational
3. Value must have an associated Provider Identifier Type equal to ""2""
4. Value must exist in the NPPES NPI File",CLAIMOT
COT268,COT.003.268,REFERRING-PROV-NUM-2,Referring Provider Number 2,Situational,"A unique identification number assigned to a provider which identifies the physician or other provider who referred the patient. For physicians, this must be the individual's ID number, not a group identification number. If the referring provider number is not available, but the physician's Drug Enforcement Agency (DEA) ID is on the State file, then the State should use the DEA ID for this data element. This is only applicable when a provider reports a second referral at the header of their claim.",,COT00003,CLAIM-LINE-RECORD-OT,X(30),1160,1189,Not Applicable,"1. Value must be 30 characters or less
2. Situational",CLAIMOT
