Source,Source File,Table Name,Column Name,Column Alias (Common Name),Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Percision,Comment,Valid Values,Logic,Column Order,Gap,Findings,Linage Source System,Linage State Table Mapping,Lineage State Field Mapping 
EVV,EVV,T_EVV_CLIENT_GENERAL,ACCOUNT,,Sandata account number. This number is generated by EVV as the Provider Account Number. This value will be a minimum of 4 digits (may be zero padded) to a maximum of 10 digits,nvarchar,,,,,,,,,,10,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_PROVIDER_GENERAL,ACCOUNT,,Sandata account number. This number is generated by EVV as the Provider Account Number. This value will be a minimum of 4 digits (may be zero padded) to a maximum of 10 digits.,nvarchar,,,,,,,,,,10,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_VISIT_GENERAL,ACCOUNT,,Sandata account number. This number is generated by EVV as the Provider Account Number. This value will be a minimum of 4 digits (may be zero padded) to a maximum of 10 digits.,nvarchar,,,,,,,,,,10,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_VISIT_GENERAL,ACTDURATION,,"Actual, calculated duration (Call Out – Call In) in Minutes.",numeric,,,,,,,,,,10,,0,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_PROVIDER_GENERAL,ADDRESSCITY,,City associated with the provider,nvarchar,,,,,,,,,,30,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_ADDR,ADDRESSID,,Address Identification number for the address where the client resides/receives services,nvarchar,,,,,,,,,,16,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_PROVIDER_GENERAL,ADDRESSLINE1,,Provider’s street address as supplied by the State.,nvarchar,,,,,,,,,,50,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_PROVIDER_GENERAL,ADDRESSLINE2,,Second line of provider’s street address,nvarchar,,,,,,,,,,50,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_PROVIDER_GENERAL,ADDRESSSTATE,,State name associated with the provider,nvarchar,2 char standard US state abbreviation,,,,,,,,,2,,,"HI, TX",Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_PROVIDER_GENERAL,ADDRESSZIP,,Zip code associated with the provider,nvarchar,This is the full nine digits of the zip code for a business mailing zip code.,,,,,,,,,9,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_KPI_3 ,ADJ_DATE_DIFFERENT , ,Adjusted Date Different than actual date,numeric,,,,,,,,,,10 ,,0,,,,,,,,,
EVV,EVV,T_EVV_SPEC_USE_KPI ,ADJ_DATE_DIFFERENT , ,Adjusted Date Different than actual date,numeric,,,,,,,,,,"10,0 ",,0,,,,,,,,,
EVV,EVV,T_EVV_VISIT_GENERAL,ADJBEGINNINGDATETIME,,Adjusted in date/time if entered manually. Otherwise the actual date/time received.,date,YYYY-MM-DD,,,,,,,,,,,,"JAN 7, 2013",Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_KPI_3 ,ADJBEGINNINGDATETIME , ,Adjusted in date/time if entered manually. Otherwise the actual date/time received.,date ,,,,,,,,,,,,,,,,,,,,,
EVV,EVV,T_EVV_SPEC_USE_KPI ,ADJBEGINNINGDATETIME , ,Adjusted in date/time if entered manually. Otherwise the actual date/time received.,date ,,,,,,,,,,,,,,,,,,,,,
EVV,EVV,T_EVV_VISIT_GENERAL,ADJDURATION,,"Adjusted, calculated duration (Adj Call Out -Adj Call In) in Minutes",numeric,,,,,,,,,,10,,0,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_VISIT_GENERAL,ADJENDDATETIME,,Adjusted out date/time if entered manually. Otherwise the actual date/time received.,date,YYYY-MM-DD,,,,,,,,,,,,"JAN 7, 2013",Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_KPI_1_2 ,ADJU_STA ,,Adjusted Status,nvarchar,,,,,,,,,,1 ,,,,,,,,,,,
EVV,EVV,T_EVV_PROVIDER_GENERAL,AGENCYEMAIL,,Email id corresponding to the provider of service,nvarchar, xxx@yyy.zzz,,,,,,,,,64,,,"SCUBY.DOO@BUSINESS.COM,. ...",Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_PROVIDER_GENERAL,AGENCYPHONE,,Phone number corresponding to the provider of service,nvarchar,"Full 10 digits, no dashes.",,,,,,,,,10,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_KPI_1_2 ,AHCCCS_ID ,,"The ID in the AHCCCS system, also the HPMMIS ID",nvarchar,,,,,,,,,,9 ,,,,,,,,,,,
EVV,EVV,T_EVV_KPI_3 ,ALT_EVV , ,"In the case Sandata is recieving a feed from another vendor, this is the feild where that metric would be capturted. ",numeric,,,,,,,,,,10 ,,0,,,,,,,,,
EVV,EVV,T_EVV_SPEC_USE_KPI ,ALT_EVV , ,"In the case Sandata is recieving a feed from another vendor, this is the feild where that metric would be capturted. ",numeric,,,,,,,,,,"10,0 ",,0,,,,,,,,,
EVV,EVV,T_EVV_CLIENT_AUTH,AUTHID,,Sandata assigned unique identifier for the payer/program/service mapping.,nvarchar,,,,,,,,,,16,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
